a		+159 YT
made		+3 PT
main		+41 YT
maine		+6 YT
maintenance		+1 YT - ZERO
malfunction		+1 PT - ZERO
man		+16 PT
mansion		+1 PT - ZERO
many		+10 PT
mark		+1 PT - ZERO
marker		+2 YT
matinenga		+1 PT - ZERO
max		+3 PT
maxim		+1 YT - ZERO
may		+4 PT
me		+34 YT
mean		+11 PT
meaning		+2 YT
media		+1 PT - ZERO
mel		+1 PT - ZERO
men		+2 YT
mental		+1 YT - ZERO
menu		+4 YT
met		+1 PT - ZERO
min		+1 YT - ZERO
moment		+2 PT
more		+9 PT
most		+6 YT
move		+2 PT
moving		+4 YT - ZERO
music		+3 YT - ZERO
must		+1 PT - ZERO
named		+2 PT
national		+1 PT - ZERO
nbc		+1 PT - ZERO
need		+9 YT
never		+2 PT
nine		+2 PT - ZERO
no		+20 PT
not		+41 YT
notes		+3 YT
nother		+1 PT - ZERO
nothing		+4 YT
notice		+8 YT
noticeably		+1 YT - ZERO
now		+49 PT
number		+15 YT
numerical		+1 YT - ZERO
nurses		+1 PT - ZERO
obscene		+2 YT
of		+108 YT
off		+3 YT
offer		+1 YT - ZERO
officer		+5 PT
oh		+6 YT
ok		+24 PT - ZERO
okay		+31 YT - ZERO
olufsen		+1 PT - ZERO
on		+35 PT
once		+3 PT
one		+67 PT
one's		+1 YT - ZERO
only		+14 YT
opening		+1 PT - ZERO
or		+26 PT
order		+7 YT
originally		+2 YT
our		+5 PT
output		+1 PT - ZERO
outputs		+2 YT
over		+16 YT
own		+2 YT
panopto		+1 PT - ZERO
parentheses		+6 PT
parenthesis		+2 YT - ZERO
pass		+4 YT
passed		+1 PT - ZERO
paste		+2 PT
pastes		+1 YT - ZERO
pay		+2 PT - ZERO
peering		+1 YT - ZERO
pieces		+5 YT
play		+1 PT - ZERO
plunket		+1 PT - ZERO
plus		+1 YT - ZERO
poco		+1 YT - ZERO
polling		+2 PT - ZERO
poly		+1 YT - ZERO
predicate		+1 YT - ZERO
pretty		+1 YT - ZERO
prince		+5 PT
princesse		+1 PT - ZERO
print		+18 YT
print's		+1 PT - ZERO
printed		+1 PT - ZERO
prints		+6 YT - ZERO
probably		+9 YT
problems		+2 YT
program		+14 YT
programing		+8 PT - ZERO
programming		+8 YT - ZERO
pronounced		+1 PT - ZERO
proof		+1 YT - ZERO
prove		+1 PT - ZERO
pulling		+1 PT - ZERO
put		+11 YT
py		+1 YT - ZERO
quality		+1 PT - ZERO
re-look		+1 YT - ZERO
read		+2 PT
really		+16 PT
reasonable		+1 PT - ZERO
redraw		+1 YT - ZERO
referred		+1 PT - ZERO
related		+1 YT - ZERO
return		+32 YT
returning		+6 PT
returns		+4 YT
right		+43 PT
running		+2 YT
russo		+1 YT - ZERO
sarasohn		+1 PT - ZERO
says		+9 PT
scene		+1 PT - ZERO
school		+3 PT - ZERO
scope		+6 YT
scopes		+1 YT - ZERO
scores		+1 PT - ZERO
sean		+3 YT - ZERO
seat		+2 YT - ZERO
second		+5 YT
section		+1 YT - ZERO
security		+1 PT - ZERO
see		+18 PT
seeing		+1 YT - ZERO
seen		+2 PT
sends		+1 YT - ZERO
seriously		+2 YT
set		+8 PT
setup		+3 YT
seven		+1 YT - ZERO
share		+1 PT - ZERO
she's		+2 YT
sheet		+1 YT - ZERO
shorter		+1 PT - ZERO
shortfalls		+1 PT - ZERO
should		+9 PT
show		+5 YT
shower		+1 PT - ZERO
showery		+1 YT - ZERO
showing		+3 PT
sides		+1 PT - ZERO
sierra		+1 YT - ZERO
simply		+1 PT - ZERO
single		+2 PT
sir		+19 YT
six		+3 PT
skip		+2 YT
so		+91 YT
some		+22 YT
something		+11 YT
songs		+1 PT - ZERO
sorry		+5 YT
sort		+3 PT
sorted		+1 YT - ZERO
squadrons		+1 PT - ZERO
star		+1 PT - ZERO
step		+4 PT
still		+7 YT
story		+1 YT - ZERO
stuff		+6 YT
sure		+6 YT
talk		+6 YT
ten		+3 PT
test		+2 YT
thank		+4 YT
thanks		+1 PT - ZERO
that		+177 YT
that'll		+1 YT - ZERO
that's		+61 PT
the		+228 YT
their		+6 PT
them		+12 YT
then		+44 YT
there		+31 YT
there's		+22 YT
they		+9 YT
they're		+6 YT
thing		+6 YT
think		+7 PT
thirty		+3 YT
this		+66 PT
thousand		+3 PT
three		+24 PT
thursday		+1 YT - ZERO
time		+6 PT
to		+260 PT
today		+3 PT
together		+1 YT - ZERO
tone		+1 PT - ZERO
too		+3 YT
tool		+4 YT
toolboxes		+1 PT - ZERO
town		+2 YT
tried		+2 PT - ZERO
true		+4 YT
try		+4 YT
two		+14 YT
uh		+7 YT - ZERO
um		+6 YT - ZERO
umbc		+1 YT - ZERO
underscore		+4 YT - ZERO
understand		+2 PT
us		+5 PT
used		+7 YT
value		+29 YT
values		+20 YT
versus		+1 PT - ZERO
very		+34 PT
viewers		+1 PT - ZERO
wait		+4 YT
walk		+1 YT - ZERO
want		+20 PT
was		+18 PT
way		+9 YT
we		+69 PT
we'll		+5 YT
we've		+2 YT
went		+2 YT
were		+7 YT
what		+66 PT
what's		+3 YT
whatever		+9 PT
when		+25 YT
whenever		+2 YT
who		+6 PT
whoever		+3 YT
whole		+3 PT
why		+16 PT
will		+21 PT
win		+1 PT - ZERO
with		+36 YT
within		+1 YT - ZERO
word		+9 PT
work		+15 YT
worked		+1 PT - ZERO
would		+20 YT
write		+1 YT - ZERO
writing		+1 PT - ZERO
written		+1 YT - ZERO
wrong		+5 YT
x		+29 YT
yeah		+18 YT
year		+1 PT - ZERO
years		+2 PT
yep		+2 YT
yes		+34 YT
you		+151 PT
you've		+7 YT
your		+45 YT
zero		+9 PT
